,for_date,data_source,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance,ingest_time
95,2022-01-17,rentcast,as163,as1631a1,2006 Coachlamp Dr,Cedar,Park,TX,2.0,"1,180",2021-12-29,Single Family,1.522,0.88,2022-01-18 00:44:58.587340
96,2022-01-17,rentcast,as163,as1631a1,1101 Doris Ln,Cedar,Park,TX,2.0,"1,316",2021-06-30,Single Family,1.442,0.47,2022-01-18 00:44:58.587340
97,2022-01-17,rentcast,as163,as1631a1,703 Blue Oak Cir,Cedar,Park,TX,2.0,"1,303",2021-06-20,Single Family,1.372,0.52,2022-01-18 00:44:58.587340
98,2022-01-17,rentcast,as163,as1631a1,"1004 W Whitestone Blvd, Unit 142820",Cedar,Park,TX,2.0,"1,150",2021-09-19,Apartment,1.262,0.15,2022-01-18 00:44:58.587340
99,2022-01-17,rentcast,as163,as1631a1,"1004 W Whitestone Blvd, # 142820",Cedar,Park,TX,2.0,"1,150",2021-06-30,Apartment,1.262,0.15,2022-01-18 00:44:58.587340
100,2022-01-17,rentcast,as163,as1631a2,1201 W Whitestone Crossing Cedar Park,Cedar,Park,TX,1.0,687,2021-06-30,Apartment,1.462,0.02,2022-01-18 00:44:58.587340
101,2022-01-17,rentcast,as163,as1631a2,"1210 W Whitestone Xing, Unit 232731-687",Austin,TX,78613,1.0,687,2021-09-18,Apartment,1.742,0.07,2022-01-18 00:44:58.587340
102,2022-01-17,rentcast,as163,as1631a2,"1004 W Whitestone Blvd, Unit 142944",Cedar,Park,TX,1.0,660,2021-09-19,Apartment,1.432,0.15,2022-01-18 00:44:58.587340
103,2022-01-17,rentcast,as163,as1631a2,"1004 W Whitestone Blvd, # 142944",Cedar,Park,TX,1.0,660,2021-06-30,Apartment,1.432,0.15,2022-01-18 00:44:58.587340
104,2022-01-17,rentcast,as163,as1631a2,1201 W Whitestone Blvd,Cedar,Park,TX,1.5,"1,024",2022-01-11,Apartment,1.232,0.02,2022-01-18 00:44:58.587340
105,2022-01-17,rentcast,as163,as1631a2,"1210 W Whitestone Xing, Unit 232731-1024",Austin,TX,78613,1.5,"1,024",2021-09-18,Apartment,1.712,0.07,2022-01-18 00:44:58.587340
106,2022-01-17,rentcast,as163,as1631a2,1507 Cedar Park Rd,Cedar,Park,TX,1.0,"2,864",2022-01-11,Apartment,0.302,0.58,2022-01-18 00:44:58.587340
107,2022-01-17,rentcast,as163,as1631a2,1301 W Whitestone Blvd,Cedar,Park,TX,,,2022-01-11,Apartment,,0.13,2022-01-18 00:44:58.587340
