,for_date,comp_id,data_source,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance,ingest_time
49,2022-01-17,44b63ea7-e772-49cc-b37e-694f1f37c3b1,rentcast,as185,27201-B1,5625 Signal Pt,Austin,TX,78724,2.0,"1,080",2021-11-15,Single Family,1.482,1.05,2022-01-18 04:29:17.242574
50,2022-01-17,a0da3c43-a4f8-414c-81a4-12386848a1a7,rentcast,as185,27201-B1,5912 Pinon Vista Dr,Austin,TX,78724,2.0,"1,230",2021-12-06,Single Family,1.952,1.09,2022-01-18 04:29:17.242574
51,2022-01-17,eb1510cc-f820-45ba-80c1-a8ee474a3c7b,rentcast,as185,27201-B1,10709 Fm 969 Rd,Austin,TX,78724,2.5,"1,892",2021-10-27,Single Family,1.452,1.41,2022-01-18 04:29:17.242574
52,2022-01-17,60321736-e835-430b-92b0-938ee9719fd1,rentcast,as185,27201-B1,5407 Garden View Cv,Austin,TX,78724,2.0,"1,131",2021-07-01,Single Family,1.462,1.73,2022-01-18 04:29:17.242574
53,2022-01-17,e45e22d4-2069-4726-8d9e-d460c098f104,rentcast,as185,27201-B1,5520 Toscana Ave,Austin,TX,78724,2.0,"1,289",2022-01-11,Single Family,1.472,0.98,2022-01-18 04:29:17.242574
54,2022-01-17,2207e45d-0f61-49c0-af48-f8d51810249a,rentcast,as185,27201-B1,5604 Pinon Vista Dr,Austin,TX,78724,2.0,"1,320",2021-09-09,Single Family,1.212,1.05,2022-01-18 04:29:17.242574
55,2022-01-17,f05bf6f6-8f6c-428d-ac28-010299f271b8,rentcast,as185,27201-B1,5913 Alsace Trl,Austin,TX,78724,2.0,"1,306",2022-01-11,Single Family,1.302,1.14,2022-01-18 04:29:17.242574
56,2022-01-17,41ee9779-7a4a-4895-9762-335be41dde17,rentcast,as185,27201-B1,5513 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,509",2021-08-15,Single Family,1.462,0.37,2022-01-18 04:29:17.242574
57,2022-01-17,3592d612-b08f-4d29-a12b-f14ea2787170,rentcast,as185,27201-B1,5613 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,509",2021-07-10,Single Family,1.462,0.39,2022-01-18 04:29:17.242574
58,2022-01-17,270eb9db-2b30-47dc-8dd1-52f466b9e019,rentcast,as185,27201-B1,6016 Signal Pt,Austin,TX,78724,2.0,"1,320",2022-01-11,Single Family,1.292,1.17,2022-01-18 04:29:17.242574
59,2022-01-17,68378dc2-1f10-49ae-8323-c8b78c7b1870,rentcast,as185,27201-B1,6025 Signal Pt,Austin,TX,78724,2.0,"1,320",2021-11-09,Single Family,1.282,1.18,2022-01-18 04:29:17.242574
60,2022-01-17,ede7bf6c-c312-4c58-ba85-a7ce6a7b049e,rentcast,as185,27201-B2,4710 Little Hill Cir,Austin,TX,78725,2.0,"1,294",2021-06-22,Single Family,1.652,1.64,2022-01-18 04:29:17.242574
61,2022-01-17,e8f29469-8f60-4aa8-a026-d232b585ac17,rentcast,as185,27201-B2,"8403 Colony Loop Dr, Apt B",Austin,TX,78724,2.0,"1,020",2022-01-06,Single Family,1.132,1.32,2022-01-18 04:29:17.242574
62,2022-01-17,9f6502b5-2bc7-47a4-811c-26d35ebd2dbb,rentcast,as185,27201-B2,8913 Southwick Dr,Austin,TX,78724,2.0,"1,203",2021-10-18,Single Family,1.662,0.39,2022-01-18 04:29:17.242574
63,2022-01-17,efe3532a-d122-4e26-9e06-2f49984392ac,rentcast,as185,27201-B2,5808 Glowing Star Trl,Austin,TX,78724,2.0,"1,207",2022-01-11,Single Family,1.672,0.51,2022-01-18 04:29:17.242574
64,2022-01-17,d056a086-e719-4824-94d2-0b5c21e54e2f,rentcast,as185,27201-B2,9025 China Rose Dr,Austin,TX,78724,2.0,"1,203",2021-09-14,Single Family,1.662,0.49,2022-01-18 04:29:17.242574
65,2022-01-17,7bf7e158-5f9c-4e0c-9ab3-b940262c4ac8,rentcast,as185,27201-B2,9217 Southwick Dr,Austin,TX,78724,2.0,"1,197",2021-11-28,Single Family,1.672,0.49,2022-01-18 04:29:17.242574
66,2022-01-17,b764c80d-86b5-4276-a445-48fd3ced0c37,rentcast,as185,27201-B2,5709 Levenwood Ln,Austin,TX,78724,2.0,"1,207",2021-06-27,Single Family,1.622,0.58,2022-01-18 04:29:17.242574
67,2022-01-17,94ca6287-630a-4209-89a4-ec01ae3338e8,rentcast,as185,27201-B2,5520 Toscana Ave,Austin,TX,78724,2.0,"1,289",2022-01-11,Single Family,1.472,0.98,2022-01-18 04:29:17.242574
68,2022-01-17,bda6a062-3e91-4ef2-ae9c-f6e8d16f3439,rentcast,as185,27201-B2,5912 Pinon Vista Dr,Austin,TX,78724,2.0,"1,230",2021-12-06,Single Family,1.952,1.09,2022-01-18 04:29:17.242574
69,2022-01-17,e6fb8a79-ded3-47e1-8e5b-b313b73541d1,rentcast,as185,27201-B2,10709 Fm 969 Rd,Austin,TX,78724,2.5,"1,892",2021-10-27,Single Family,1.452,1.41,2022-01-18 04:29:17.242574
70,2022-01-17,fe89a803-39cc-4a26-9fa8-a27ea3804715,rentcast,as185,27201-B2,5604 Pinon Vista Dr,Austin,TX,78724,2.0,"1,320",2021-09-09,Single Family,1.212,1.05,2022-01-18 04:29:17.242574
71,2022-01-17,ba0754c7-7cec-43a8-859f-57f9decd94c4,rentcast,as185,27201-B2,5913 Alsace Trl,Austin,TX,78724,2.0,"1,306",2022-01-11,Single Family,1.302,1.14,2022-01-18 04:29:17.242574
72,2022-01-17,e56ea26e-8f37-4220-b530-dfe0774f4c07,rentcast,as185,27201-B2,6016 Signal Pt,Austin,TX,78724,2.0,"1,320",2022-01-11,Single Family,1.292,1.17,2022-01-18 04:29:17.242574
73,2022-01-17,89c50d23-bc7e-48ae-9c61-6259bfb96f91,rentcast,as185,27201-B2,6025 Signal Pt,Austin,TX,78724,2.0,"1,320",2021-11-09,Single Family,1.282,1.18,2022-01-18 04:29:17.242574
74,2022-01-17,aef3bebd-6f89-46be-a85a-1b9899ad7ce4,rentcast,as185,27201-B2,5513 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,509",2021-08-15,Single Family,1.462,0.37,2022-01-18 04:29:17.242574
75,2022-01-17,e54b3607-b909-462d-be2c-3dea5626b305,rentcast,as185,27201-B2,6041 Signal Pt,Austin,TX,78724,2.0,"1,320",2021-10-27,Single Family,1.252,1.21,2022-01-18 04:29:17.242574
76,2022-01-17,8035ffb3-5b8a-4f25-91c4-406c5ebc9974,rentcast,as185,27201-B2,5613 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,509",2021-07-10,Single Family,1.462,0.39,2022-01-18 04:29:17.242574
77,2022-01-17,e846b42b-46ae-4e3a-a065-ab67ed46ac83,rentcast,as185,27201-B2,9305 Southwick Dr,Austin,TX,78724,2.0,"1,516",2021-10-23,Single Family,1.252,0.52,2022-01-18 04:29:17.242574
78,2022-01-17,17ad0c34-f77c-4833-8e8a-cfec2c596bf1,rentcast,as185,27201-B2,5901 Nelson Oaks Dr,Austin,TX,78724,2.0,"1,532",2021-10-27,Single Family,1.262,0.54,2022-01-18 04:29:17.242574
79,2022-01-17,ccd9dbcc-9f61-472a-9910-2a2b3323dc36,rentcast,as185,27201-B2,9000 Tall Sky Trce,Austin,TX,78724,2.0,"1,637",2021-12-17,Single Family,1.222,0.2,2022-01-18 04:29:17.242574
80,2022-01-17,65b14309-a531-4c14-8bb3-1f973ffe090c,rentcast,as163,as1631a1,"1004 W Whitestone Blvd, Unit 142944",Cedar,Park,TX,1.0,660,2021-09-19,Apartment,1.432,0.15,2022-01-18 04:29:17.242574
81,2022-01-17,8c54dbce-da83-4ab3-a326-68ab9ab2b1d3,rentcast,as163,as1631a1,"1004 W Whitestone Blvd, # 142944",Cedar,Park,TX,1.0,660,2021-06-30,Apartment,1.432,0.15,2022-01-18 04:29:17.242574
82,2022-01-17,3def23f9-8624-4784-97c4-25ec53a337ad,rentcast,as163,as1631a1,1201 W Whitestone Crossing Cedar Park,Cedar,Park,TX,1.0,687,2021-06-30,Apartment,1.462,0.02,2022-01-18 04:29:17.242574
83,2022-01-17,22a7e9db-d6a3-4492-95c3-4ef1f8840351,rentcast,as163,as1631a1,"1210 W Whitestone Xing, Unit 232731-687",Austin,TX,78613,1.0,687,2021-09-18,Apartment,1.742,0.07,2022-01-18 04:29:17.242574
84,2022-01-17,d1408b14-43d3-4edf-bb0c-6287cddf3f04,rentcast,as163,as1631a1,1201 W Whitestone Blvd,Cedar,Park,TX,1.5,"1,024",2022-01-11,Apartment,1.232,0.02,2022-01-18 04:29:17.242574
85,2022-01-17,dd5248c6-4291-4bbc-9d38-5c7ffbb0c84b,rentcast,as163,as1631a1,"1210 W Whitestone Xing, Unit 232731-1024",Austin,TX,78613,1.5,"1,024",2021-09-18,Apartment,1.712,0.07,2022-01-18 04:29:17.242574
