,0,1,2,3,4,5,6,7,8,9,10
133,as163,as1631a3,"1047 Silverstone Ln
Cedar Park, TX 78613","$1,850
$1.35 /ft2","Sep 13, 2021
121 Days Ago",65.0%,0.2 mi,3,2,"1,368",Single Family
134,as163,as1631a3,"1301 W Whitestone Blvd
Cedar Park, TX 78613","$1,086","Jan 11, 2022
1 Day Ago",64.6%,0.13 mi,,,,Apartment
135,as163,as1631a3,"703 Blue Oak Cir
Cedar Park, TX 78613","$1,785
$1.37 /ft2","Jun 20, 2021
206 Days Ago",64.6%,0.52 mi,3,2,"1,303",Single Family
136,as163,as1631a3,"1101 Doris Ln
Cedar Park, TX 78613","$1,900
$1.44 /ft2","Jun 30, 2021
196 Days Ago",64.6%,0.47 mi,3,2,"1,316",Single Family
137,as163,as1631a3,"1004 W Whitestone Blvd, Unit 142820
Cedar Park, TX 78613","$1,450
$1.26 /ft2","Sep 19, 2021
115 Days Ago",64.4%,0.15 mi,2,2,"1,150",Apartment
138,as163,as1631a3,"1004 W Whitestone Blvd, # 142820
Cedar Park, TX 78613","$1,450
$1.26 /ft2","Jun 30, 2021
196 Days Ago",64.4%,0.15 mi,2,2,"1,150",Apartment
139,as163,as1631a3,"1813 Woodstone Ct
Cedar Park, TX 78613","$2,100
$1.62 /ft2","Aug 11, 2021
154 Days Ago",63.9%,0.78 mi,3,2,"1,296",Single Family
140,as163,as1631b1,"1201 W Whitestone Blvd
Cedar Park, TX 78613","$1,257
$1.23 /ft2","Jan 11, 2022
1 Day Ago",86.0%,0.02 mi,1,1.5,"1,024",Apartment
141,as163,as1631b1,"1210 W Whitestone Xing, Unit 232731-1024
Austin, TX 78613","$1,750
$1.71 /ft2","Sep 18, 2021
116 Days Ago",85.8%,0.07 mi,1,1.5,"1,024",Apartment
142,as163,as1631b1,"1201 W Whitestone Crossing Cedar Park
Cedar Park, TX 78613","$1,000
$1.46 /ft2","Jun 30, 2021
196 Days Ago",75.9%,0.02 mi,1,1,687,Apartment
143,as163,as1631b1,"1210 W Whitestone Xing, Unit 232731-687
Austin, TX 78613","$1,195
$1.74 /ft2","Sep 18, 2021
116 Days Ago",75.8%,0.07 mi,1,1,687,Apartment
144,as163,as1631b1,"1004 W Whitestone Blvd, Unit 142944
Cedar Park, TX 78613","$945
$1.43 /ft2","Sep 19, 2021
115 Days Ago",74.9%,0.15 mi,1,1,660,Apartment
145,as163,as1631b1,"1004 W Whitestone Blvd, # 142944
Cedar Park, TX 78613","$945
$1.43 /ft2","Jun 30, 2021
196 Days Ago",74.9%,0.15 mi,1,1,660,Apartment
