,for_date,abbreviation,unit_type,address,city,state,zip_code,bedrooms,bathrooms,listing_date,sqft,price_sqft,distance
95,17/01/2022,as1631a1,"2006 Coachlamp Dr
Cedar Park, TX 78613",2006 Coachlamp Dr,Cedar,Park,TX,2.0,"1,180",2021-12-29,Single Family,1.522,0.88
96,17/01/2022,as1631a1,"1101 Doris Ln
Cedar Park, TX 78613",1101 Doris Ln,Cedar,Park,TX,2.0,"1,316",2021-06-30,Single Family,1.442,0.47
97,17/01/2022,as1631a1,"703 Blue Oak Cir
Cedar Park, TX 78613",703 Blue Oak Cir,Cedar,Park,TX,2.0,"1,303",2021-06-20,Single Family,1.372,0.52
98,17/01/2022,as1631a1,"1004 W Whitestone Blvd, Unit 142820
Cedar Park, TX 78613","1004 W Whitestone Blvd, Unit 142820",Cedar,Park,TX,2.0,"1,150",2021-09-19,Apartment,1.262,0.15
99,17/01/2022,as1631a1,"1004 W Whitestone Blvd, # 142820
Cedar Park, TX 78613","1004 W Whitestone Blvd, # 142820",Cedar,Park,TX,2.0,"1,150",2021-06-30,Apartment,1.262,0.15
100,17/01/2022,as1631a2,"1201 W Whitestone Crossing Cedar Park
Cedar Park, TX 78613",1201 W Whitestone Crossing Cedar Park,Cedar,Park,TX,1.0,687,2021-06-30,Apartment,1.462,0.02
101,17/01/2022,as1631a2,"1210 W Whitestone Xing, Unit 232731-687
Austin, TX 78613","1210 W Whitestone Xing, Unit 232731-687",Austin,TX,78613,1.0,687,2021-09-18,Apartment,1.742,0.07
102,17/01/2022,as1631a2,"1004 W Whitestone Blvd, Unit 142944
Cedar Park, TX 78613","1004 W Whitestone Blvd, Unit 142944",Cedar,Park,TX,1.0,660,2021-09-19,Apartment,1.432,0.15
103,17/01/2022,as1631a2,"1004 W Whitestone Blvd, # 142944
Cedar Park, TX 78613","1004 W Whitestone Blvd, # 142944",Cedar,Park,TX,1.0,660,2021-06-30,Apartment,1.432,0.15
104,17/01/2022,as1631a2,"1201 W Whitestone Blvd
Cedar Park, TX 78613",1201 W Whitestone Blvd,Cedar,Park,TX,1.5,"1,024",2022-01-11,Apartment,1.232,0.02
