,abbreviation,unit-type,comp-address,similarity,beds,baths,sqft,type,monthly-rent,days-ago,price-sqft,dist
169,as163,as1632d1,"1047 Silverstone Ln
Cedar Park, TX 78613",82.80%,3,2,"1,368",Single Family,1850,121,1.352,0.2
170,as163,as1632d1,"703 Blue Oak Cir
Cedar Park, TX 78613",82.70%,3,2,"1,303",Single Family,1785,206,1.372,0.52
171,as163,as1632d1,"1101 Doris Ln
Cedar Park, TX 78613",82.70%,3,2,"1,316",Single Family,1900,196,1.442,0.47
172,as163,as1632d1,"202 Fawnfield Dr
Cedar Park, TX 78613",82.10%,3,2,"1,243",Single Family,2100,192,1.692,1.01
173,as163,as1632d1,"1813 Woodstone Ct
Cedar Park, TX 78613",82.00%,3,2,"1,296",Single Family,2100,154,1.622,0.78
174,as163,as1632d1,"1806 Oakmont Ln
Cedar Park, TX 78613",81.90%,3,2,"1,323",Single Family,1995,208,1.512,0.68
175,as163,as1632d1,"1914 Hollow Ridge Dr
Cedar Park, TX 78613",81.30%,3,2,"1,335",Single Family,1750,10,1.312,0.81
176,as163,as1632d1,"800 Monarch Ave
Cedar Park, TX 78613",80.70%,3,2,"1,465",Single Family,1895,15,1.292,0.45
177,as163,as1632d1,"1504 Sedbury Way
Cedar Park, TX 78613",80.40%,3,2,"1,360",Single Family,1995,100,1.472,0.98
178,as163,as1632d1,"1402 Cedar Park Dr
Cedar Park, TX 78613",80.30%,3,2,"1,462",Single Family,1900,82,1.302,0.58
179,as163,as1632d1,"1707 Deodara Dr
Cedar Park, TX 78613",80.20%,3,2,"1,420",Single Family,1875,119,1.322,0.78
180,as167,as1671a1,"1016 W Stassney Ln, Apt 122
Austin, TX 78745",95.60%,1,1,588,Apartment,1355,113,2.302,0.03
181,as167,as1671a1,"1016 W Stassney Ln, Apt 136
Austin, TX 78745",95.60%,1,1,588,Apartment,1285,126,2.192,0.03
182,as167,as1671a1,"1016 W Stassney Ln, Apt 148
Austin, TX 78745",92.40%,1,1,708,Apartment,1355,120,1.912,0.03
183,as167,as1671a1,"1020 W Stassney Ln, Unit 248
Austin, TX 78745",92.30%,1,1,708,Apartment,1455,118,2.062,0.06
184,as167,as1671a1,"1020 W Stassney Ln, Unit 165
Austin, TX 78745",92.30%,1,1,708,Apartment,1358,127,1.922,0.07
185,as167,as1671a1,"5807 S 1st St, Unit ATC11
Austin, TX 78745",92.10%,1,1,670,Apartment,1185,120,1.772,0.39
186,as167,as1671a1,"1016 W Stassney Ln
Austin, TX 78745",88.30%,1,1,,Apartment,1105,1,,0.03
187,as167,as1671a1,"1005 W Stassney Ln, Unit 25203
Austin, TX 78745",88.00%,1,1,,Apartment,1015,1,,0.1
188,as167,as1671a1,"714 Turtle Creek Blvd, Unit 156
Austin, TX 78745",87.10%,1,1,,Apartment,1249,126,,0.38
189,as167,as1671a1,"5816 S 1st St
Austin, TX 78745",83.60%,1,1,,Single Family,1199,122,,0.36
190,as167,as1671a1,"1005 W Stassney Ln
Austin, TX 78745",79.70%,1,1,650,Condo,975,1,1.502,0.1
191,as167,as1671a1,"1005 W Stassney Ln, Unit 25202
Austin, TX 78745",77.60%,Studio,1,,Apartment,1140,3,,0.1
192,as167,as1671a1,"1005 W Stassney Ln, Unit 25201
Austin, TX 78745",77.60%,Studio,1,,Apartment,975,1,,0.1
193,as167,as1671a1,"5304 Saint Georges Grn, Apt A
Austin, TX 78745",77.60%,2,1,840,Apartment,1000,204,1.192,0.59
194,as167,as1671a1,"811 Ramble Ln
Austin, TX 78745",77.30%,2,1,,Apartment,1395,196,,0.15
195,as167,as1671a1,"5800 Emerald Forest Dr
Austin, TX 78745",77.10%,2,1,,Apartment,1525,28,,0.24
196,as167,as1671a1,"6200 Soft Wind Cir
Austin, TX 78745",76.20%,2,1,,Apartment,1450,103,,0.51
197,as167,as1671a1,"801 Sirocco Dr
Austin, TX 78745",76.20%,2,1,,Apartment,1375,199,,0.51
198,as167,as1671a1,"5304 Saint Georges Grn
Austin, TX 78745",75.90%,2,1,,Apartment,1000,203,,0.59
199,as167,as1671a1,"4903 Hawk Cv
Austin, TX 78745",75.80%,2,1,,Apartment,1475,43,,0.63
200,as167,as1671a1-R,"1016 W Stassney Ln, Apt 122
Austin, TX 78745",95.60%,1,1,588,Apartment,1355,113,2.302,0.03
